PCA_Varianza,Arquitectura_Neuronal,Accuracy
0.85,"(50,)",0.7476753220939267
0.9,"(50,)",0.7461339693897834
0.95,"(50,)",0.7624545996639019
0.85,"(100,)",0.7375959957355306
0.9,"(100,)",0.7430277732603314
0.95,"(100,)",0.7539093980954447
0.85,"(50, 50)",0.7352794492329376
0.9,"(50, 50)",0.7476988128150919
0.95,"(50, 50)",0.7406841220794709
0.85,"(50,)",0.7453443197629245
0.9,"(50,)",0.7445799678357817
0.95,"(50,)",0.7640086012179035
0.85,"(100,)",0.7306084096781772
0.9,"(100,)",0.7414737717063299
0.95,"(100,)",0.7539112050739957
0.85,"(50, 50)",0.7290616360383803
0.9,"(50, 50)",0.7438083879944344
0.95,"(50, 50)",0.7414611228564717
0.85,"(50,)",0.7461213205399253
0.9,"(50,)",0.749238358540684
0.95,"(50,)",0.7640049872608011
0.85,"(100,)",0.7298259879655228
0.9,"(100,)",0.7430295802388825
0.95,"(100,)",0.7601217903543485
0.85,"(50, 50)",0.7275130554200322
0.9,"(50, 50)",0.7469109701667841
0.95,"(50, 50)",0.7437957391445763
0.85,"(50,)",0.7275040205272764
0.9,"(50,)",0.7321606042536275
0.95,"(50,)",0.7515765887858912
0.85,"(100,)",0.7329267631593214
0.9,"(100,)",0.739916156195226
0.95,"(100,)",0.7655427260078422
0.85,"(50, 50)",0.7438011600802299
0.9,"(50, 50)",0.7352668003830795
0.95,"(50, 50)",0.7484667786993368
0.85,"(50,)",0.7275040205272764
0.9,"(50,)",0.7321606042536275
0.95,"(50,)",0.7515765887858912
0.85,"(100,)",0.7337037639363221
0.9,"(100,)",0.739916156195226
0.95,"(100,)",0.7647657252308414
0.85,"(50, 50)",0.7445763538786795
0.9,"(50, 50)",0.7360438011600802
0.95,"(50, 50)",0.7484667786993368
0.85,"(50,)",0.7275040205272764
0.9,"(50,)",0.7352668003830795
0.95,"(50,)",0.7554579787137928
0.85,"(100,)",0.7352577654903237
0.9,"(100,)",0.739916156195226
0.95,"(100,)",0.7639887244538407
0.85,"(50, 50)",0.7422471585262284
0.9,"(50, 50)",0.7368226089156322
0.95,"(50, 50)",0.7492455864548888
